pnl_net,equity,drawdown,rolling_sharpe,rolling_expectancy,rolling_winrate
-0.4046651999999947,-35.348283678832296,-35.27867642934111,-6.112798157388527,-0.27579595893738224,0.04
-0.5123934832640114,-35.86067716209631,-35.791069912605124,-10.527872093972997,-0.31425361643146266,0.02
-0.39558527999999793,-36.25626244209631,-36.18665519260512,-10.584520985128362,-0.3163573620314638,0.02
-0.40357478000000324,-36.659837222096314,-36.59022997260513,-10.811041720191485,-0.3214954533442804,0.02
-0.40061918399997476,-37.060456406096286,-36.9908491566051,-10.818755218767405,-0.32194681302427985,0.02
-0.20667042747116293,-37.267126833567445,-37.19751958407626,-10.91569752392514,-0.3233174807896077,0.02
-0.15550506418560378,-37.42263189775305,-37.353024648261865,-10.762470555372175,-0.32069652487332,0.02
-0.1406618362799671,-37.56329373403302,-37.49368648454183,-10.522666679315629,-0.31467795294227874,0.02
-0.4316385999999752,-37.994932334032995,-37.92532508454181,-10.713125762925515,-0.31983536311651856,0.02
-0.29332436340542095,-38.28825669743841,-38.21864944794723,-10.725557103436227,-0.3201334303846274,0.02
-0.29185519999997434,-38.580111897438385,-38.5105046479472,-11.057198161776835,-0.32483328453550603,0.02
-0.16911916563198331,-38.74923106307037,-38.679623813579184,-10.959835486610398,-0.3233027800516664,0.02
-0.30103199999996266,-39.05026306307033,-38.98065581357915,-11.04305115642188,-0.32495771792715344,0.02
-0.3884846799999517,-39.43874774307029,-39.3691404935791,-11.299160464678309,-0.32998618798083224,0.02
-0.2790319999999904,-39.71777974307028,-39.6481724935791,-11.439865762305818,-0.332211932636512,0.02
-0.38263679999996636,-40.100416543070246,-40.03080929357906,-11.745006213027784,-0.33747947707081594,0.02
-0.30424952000000005,-40.404666063070245,-40.33505881357906,-11.975093618107824,-0.34080440918385635,0.02
-0.4425181589087871,-40.847184221979035,-40.77757697248785,-12.398342159254463,-0.3479052815956325,0.02
-0.24489836140793542,-41.09208258338697,-41.022475333895784,-12.509760015233313,-0.34930166039107136,0.02
-0.34772478771200466,-41.43980737109897,-41.37020012160779,-12.495918894343312,-0.3453023056394239,0.02
-0.4057785300000077,-41.84558590109898,-41.775978651607794,-13.395882328367511,-0.33474811316707237,0.02
-0.567978040166385,-42.413563941265366,-42.34395669177418,-16.817024447237774,-0.32283429423216004,0.02
-0.5126744000000142,-42.92623834126538,-42.8566310917742,-16.949557586973885,-0.32897167058160015,0.02
-0.8909356155599878,-43.81717395682537,-43.74756670733419,-15.206550187227444,-0.34020005261089614,0.02
-0.5072860165559838,-44.32445997338135,-44.25485272389017,-15.601959525751461,-0.347395768745728,0.02
-0.30936060000000937,-44.633820573381364,-44.56421332389018,-15.718186999254158,-0.3486872695146892,0.02
