coin,hour_of_day,expectancy,profit_factor,winrate,trade_count
LINK/USDT,5,-1.5143580713453695,0.0,0.0,11
SONIC/USDT,5,-1.5196099944927934,0.0,0.0,2
ASTER/USDT,5,-1.5255200590219014,0.0,0.0,4
LTC/USDT,5,-1.5462476190055532,0.0,0.0,7
STO/USDT,20,-1.5512643132831767,0.0,0.0,2
BCH/USDT,5,-1.5587272714038423,0.0,0.0,4
LTC/USDT,6,-1.5603880052599277,0.0,0.0,4
TAO/USDT,18,-1.5675524491872042,0.0,0.0,1
SOL/USDT,5,-1.5741179779612435,0.0,0.0,12
LPT/USDT,2,-1.5801557574599627,0.0,0.0,2
LTC/USDT,8,-1.5805336475428,0.0,0.0,21
ZRO/USDT,0,-1.6030782231359666,0.0,0.0,1
VELVET/USDT,6,-1.6151583942400025,0.0,0.0,1
0G/USDT,7,-1.6302278036479292,0.0,0.0,3
B2/USDT,21,-1.635533569199993,0.0,0.0,1
MORPHO/USDT,5,-1.6373136886762472,0.0,0.0,11
STO/USDT,10,-1.6390683485958981,0.0,0.0,3
AVAX/USDT,5,-1.6517485797198848,0.0,0.0,7
LPT/USDT,11,-1.6531523180159258,0.0,0.0,3
RIVER/USDT,4,-1.6863872989789914,0.06452360861508616,0.047619047619047616,21
HOME/USDT,10,-1.69383043386035,0.39305154451807045,0.25,8
XLM/USDT,5,-1.6970494582280449,0.0,0.0,9
AAVE/USDT,5,-1.7108239750599257,0.0,0.0,8
AAVE/USDT,7,-1.7274270551999293,0.0,0.0,3
ADA/USDT,6,-1.7279697823890041,0.0,0.0,11
HOME/USDT,23,-1.7370030657647442,0.09823731360586285,0.1111111111111111,9
BNB/USDT,11,-1.7569542395732551,0.0,0.0,3
0G/USDT,11,-1.7709970715865522,0.0,0.0,3
SUI/USDT,5,-1.8431985270039872,0.0,0.0,6
BNB/USDT,5,-1.8721608512839014,0.0,0.0,6
UNI/USDT,5,-1.8830445344899063,0.0,0.0,8
WLD/USDT,5,-1.9037691466959419,0.0,0.0,10
H/USDT,0,-1.9390654732607864,0.0,0.0,1
SOL/USDT,11,-1.9404239316479583,0.0,0.0,1
KITE/USDT,5,-1.9506390998152316,0.09728311752236891,0.15,20
KITE/USDT,9,-1.9884609724431048,0.18364814541845673,0.2222222222222222,18
BTC/USDT,5,-1.9965226338633824,0.0,0.0,10
ETH/USDT,12,-1.9996830908781318,0.029453566695211767,0.1111111111111111,9
TAO/USDT,6,-2.0307591478636056,0.0,0.0,8
HYPE/USDT,7,-2.0417583650976483,0.0,0.0,6
HBAR/USDT,5,-2.0544051247171797,0.0,0.0,12
LPT/USDT,7,-2.062268164503942,0.0,0.0,3
MORPHO/USDT,11,-2.0705164513919763,0.0,0.0,2
0G/USDT,5,-2.11595680335715,0.0,0.0,12
LA/USDT,5,-2.1242905302079493,0.0,0.0,3
ADA/USDT,11,-2.1431546102639385,0.0,0.0,3
KITE/USDT,8,-2.226451065600225,0.2803113498459556,0.26666666666666666,15
MYX/USDT,7,-2.2406576539319696,0.0,0.0,2
FF/USDT,22,-2.2775666216423307,0.0,0.0,1
H/USDT,6,-2.285734559834038,0.19792446394511562,0.23809523809523808,21
XRP/USDT,11,-2.3206510426878646,0.0,0.0,3
TRX/USDT,10,-2.370925478387996,0.0,0.0,11
APR/USDT,2,-2.4510962030399477,0.0,0.0,1
H/USDT,12,-2.4676467956558925,0.0,0.0,3
MOODENG/USDT,11,-2.496678353266385,0.0,0.0,2
DOGE/USDT,7,-2.545460943274882,0.0,0.0,4
BERA/USDT,11,-2.569690667447629,0.0,0.0,4
PENGU/USDT,5,-2.5739793329297584,0.0,0.0,7
RIVER/USDT,2,-2.7302217456799673,0.0,0.0,6
BCH/USDT,11,-2.913701882255957,0.0,0.0,2
SOL/USDT,12,-2.9663131390559023,0.0,0.0,2
RIVER/USDT,22,-2.9949446340799466,0.0,0.0,1
STO/USDT,11,-3.178334535969558,0.0,0.0,2
KITE/USDT,10,-3.184134932201402,0.20549750693150723,0.23076923076923078,13
MON/USDT,4,-3.464178268819169,0.0,0.0,1
KITE/USDT,7,-3.636967242497156,0.0,0.0,4
MYX/USDT,12,-3.8463229133997063,0.0,0.0,1
MOODENG/USDT,5,-3.9573167506198548,0.0,0.0,4
MYX/USDT,10,-4.043227688423936,0.09887150956083847,0.5,2
DOGE/USDT,12,-4.058394183224069,0.0,0.0,9
RECALL/USDT,20,-4.131323517600084,0.0,0.0,1
GRASS/USDT,4,-4.143421116869945,0.0,0.0,4
HOME/USDT,7,-4.288332862885784,0.14038036396808748,0.4,5
SONIC/USDT,11,-6.2982728183647065,0.0,0.0,1
HOME/USDT,4,-9.68978669323513,0.0,0.0,2
