pnl,score,entry_efficiency,entry_delay,slippage,mfe,mae,profit_capture_ratio
-0.42366965088960207,0.3650535796510658,1.0,0,,0.009000000000000341,-0.05000000000000071,-47.07440565439845
-0.8167489229087921,0.45545453112585643,1.0,0,,0.009999999999990905,-0.5300000000000011,-81.6748922909535
-0.09635085667998594,0.39312764499168273,1.0,0,,0.0005000000000000004,-9.999999999998899e-05,-192.7017133599717
-2.0728998312799862,0.3947877882653569,1.0,0,,9.999999999998899e-05,-0.002700000000000008,-20728.998312802145
-0.16872983492158292,0.3050528624862584,1.0,0,,0.00039999999999995595,0.0,-421.8245873040037
1.4104893914400076,0.3280297751150836,1.0,0,,0.0049000000000000155,-0.00040000000000001146,287.8549778448986
-0.2903979999999427,0.4175296696518052,1.0,0,,0.0007999999999999119,0.0,-362.99749999996834
-0.14667021435917238,0.3650535796510658,1.0,0,,0.02400000000000091,0.0,-6.1112589316319506
-0.37805120000000125,0.47622066610605485,1.0,0,,0.28000000000000114,-0.09000000000000341,-1.3501828571428562
-0.13813703920477083,0.46206925452270764,1.0,0,,0.0006000000000000449,-0.0007000000000000339,-230.2283986746008
-0.2865528599999904,0.41484891848191674,1.0,0,,3.0000000000002247e-05,0.0,-9551.761999998966
-0.4415904328320279,0.4539037043273433,1.0,0,,0.0,-0.002000000000000224,
-0.17376809128798607,0.3611402493387098,1.0,0,,0.0005000000000000004,0.0,-347.5361825759718
-0.2784209999999784,0.3961899811075943,1.0,0,,0.00019999999999997797,0.0,-1392.1050000000453
-0.05686249245604147,0.3859869807212098,1.0,0,,0.0019000000000000128,-0.00020000000000000573,-29.927627608442677
-0.2456443898239662,0.4175296696518052,1.0,0,,0.00039999999999995595,0.0,-614.1109745599831
-0.21828510622560998,0.3115917444661672,1.0,0,,0.0,-2.0000000000006124e-05,
-0.13706117731601453,0.3050528624862584,1.0,0,,0.0004999999999999449,0.0,-274.1223546320592
-0.16774476721599726,0.4539037043273433,1.0,0,,0.002000000000000224,0.0,-83.87238360798925
-0.11925957828476907,0.3603795808739894,1.0,0,,0.000130000000000019,-0.00011999999999998123,-917.3813714211666
-0.138002914347985,0.41484891848191674,1.0,0,,5.000000000000143e-05,0.0,-2760.058286959621
-0.08747453831997717,0.45890575400229366,1.0,0,,0.0010000000000000009,-0.00029999999999996696,-87.4745383199771
-0.17507942163599022,0.3603795808739894,1.0,0,,3.999999999998449e-05,-4.000000000001225e-05,-4376.985540901453
-0.5476925252943823,0.38961171553139307,1.0,0,,0.010999999999999233,-0.06099999999999994,-49.79022957222004
-0.9334881536175801,0.47622066610605485,1.0,0,,0.0800000000000125,-0.6599999999999966,-11.668601920217927
-1.163668986912002,0.4917657898999219,1.0,0,,0.0,-0.0021999999999999797,
-0.2058055825280079,0.3961899811075943,1.0,0,,0.00019999999999997797,0.0,-1029.0279126401529
-0.3295165140951883,0.5106400212289325,1.0,0,,3.0000000000002247e-05,0.0,-10983.88380317212
-0.14750020981439374,0.3050528624862584,1.0,0,,0.0004999999999999449,-0.00019999999999997797,-295.00041962882
-0.24478556155194486,0.527019484367361,1.0,0,,0.0001000000000000445,-9.999999999998899e-05,-2447.855615518359
-0.31315811999998,0.47276877058519196,1.0,0,,0.0006000000000000449,0.0,-521.9301999999276
-0.21308986501438132,0.38961171553139307,1.0,0,,0.013999999999999346,0.0,-15.22070464388509
-0.3405965348296082,0.525323960151343,1.0,0,,1.9999999999992246e-05,-2.0000000000006124e-05,-17029.826741487013
-0.43148199999998876,0.5780327065339623,1.0,0,,0.0040000000000000036,0.0,-107.8704999999971
-0.2934680456105004,0.47291246574942614,1.0,0,,5.100000000000171e-09,-2.099999999999946e-09,-57542754.04127265
-0.37075768078271953,0.5203141415639265,1.0,0,,3.000000000000398e-06,-1.999999999999398e-06,-123585.89359422344
-0.3516895884799933,0.5074187059814624,1.0,0,,0.12000000000000455,-0.06999999999993634,-2.9307465706665
-0.38751599999997455,0.49632779896775875,1.0,0,,0.00030999999999997696,-2.0000000000020002e-05,-1250.0516129032367
-0.4063211999999927,0.52935205484272,1.0,0,,0.00019999999999997797,0.0,-2031.6060000001874
-0.3025199000000065,0.4501932087659031,1.0,0,,0.000500000000000056,0.0,-605.0397999999453
-0.2446099615040016,0.527019484367361,1.0,0,,9.999999999998899e-05,-9.999999999998899e-05,-2446.0996150402852
-0.24978178987199917,0.42624396124970243,1.0,0,,0.00019999999999997797,-0.000300000000000078,-1248.9089493601334
-0.3580575900159834,0.5074187059814624,1.0,0,,0.12999999999999545,0.0,-2.7542891539691996
-0.32248730770396516,0.4175296696518052,1.0,0,,9.999999999998899e-05,-0.0009999999999998899,-3224.8730770400066
-0.6212681746343334,0.5203141415639265,1.0,0,,2.999999999999531e-06,-1.0000000000001327e-06,-207089.39154481018
-0.3616033298863549,0.525323960151343,1.0,0,,2.0000000000006124e-05,0.0,-18080.16649431221
-0.3294446840879735,0.5106400212289325,1.0,0,,3.0000000000002247e-05,-5.9999999999990616e-05,-10981.489469598295
-0.22857628480800027,0.42624396124970243,1.0,0,,0.00029999999999996696,0.0,-761.9209493600848
-0.33462247655197214,0.5780327065339623,1.0,0,,0.0009999999999998899,0.0,-334.622476552009
