uid,side,entry,mfe_price,mae_price,pnl_net,entry_efficiency
HBAR-sell-140703-5e99,sell,0.09583,1.9999999999992246e-05,-2.0000000000006124e-05,-0.3405965348296082,-2395.2500000000978
LPT-sell-140713-45f0,sell,2.219,0.0040000000000000036,0.0,-0.43148199999998876,-553.7499999999994
PEPE-sell-140724-eb10,sell,3.2716e-06,5.100000000000171e-09,-2.099999999999946e-09,-0.2934680456105004,-453.68055555554815
PENGU-sell-140717-f8c2,sell,0.006667,3.000000000000398e-06,-1.999999999999398e-06,-0.37075768078271953,-1332.8000000000543
BNB-sell-140657-a529,sell,624.59,0.12000000000000455,-0.06999999999993634,-0.3516895884799933,-3286.6842105273386
XLM-sell-140734-427f,sell,0.15041,0.00030999999999997696,-2.0000000000020002e-05,-0.38751599999997455,-454.8484848484891
WLD-sell-140803-6adc,sell,0.3828,0.00019999999999997797,0.0,-0.4063211999999927,-1913.0000000002108
SUI-sell-140833-c14a,sell,0.895,0.000500000000000056,0.0,-0.3025199000000065,-1788.9999999997997
ADA-sell-140857-e012,sell,0.2525,9.999999999998899e-05,-9.999999999998899e-05,-0.2446099615040016,-1262.0000000001392
ASTER-sell-140657-ceee,sell,0.692,0.00019999999999997797,-0.000300000000000078,-0.24978178987199917,-1383.599999999845
BNB-sell-140857-b1f2,sell,624.53,0.12999999999999545,0.0,-0.3580575900159834,-4803.076923077091
XRP-sell-140633-5bb9,sell,1.3568,9.999999999998899e-05,-0.0009999999999998899,-0.32248730770396516,-1233.3636363637722
PENGU-sell-140915-597e,sell,0.006663,2.999999999999531e-06,-1.0000000000001327e-06,-0.6212681746343334,-1665.00000000014
HBAR-sell-140903-d452,sell,0.09582,2.0000000000006124e-05,0.0,-0.3616033298863549,-4789.999999998533
DOGE-sell-140857-0312,sell,0.08955,3.0000000000002247e-05,-5.9999999999990616e-05,-0.3294446840879735,-994.6666666667455
ASTER-sell-140915-a1de,sell,0.6918,0.00029999999999996696,0.0,-0.22857628480800027,-2305.0000000002537
LPT-sell-140921-6bdc,sell,2.213,0.0009999999999998899,0.0,-0.33462247655197214,-2212.0000000002437
PEPE-sell-140921-8ae3,sell,3.269e-06,0.0,-4.599999999999922e-09,-0.4184045502621605,-710.6521739130555
TAO-buy-140729-72bf,buy,182.56,0.0,-1.759999999999991,0.25903116902402307,104.72727272727326
MOODENG-sell-140857-d43c,sell,0.04807,3.0000000000002247e-05,-9.999999999996123e-06,-0.20672594748556683,-1201.0000000000489
XRP-sell-140934-cdf5,sell,1.3571,0.0005999999999999339,-9.999999999998899e-05,-0.30118739999997923,-1937.8571428573564
SUI-sell-141030-b96f,sell,0.8951,0.0007000000000000339,-9.999999999998899e-05,-0.6158241186799948,-1117.999999999968
ADA-sell-141052-f0f1,sell,0.2528,0.00030000000000002247,0.0,-0.4046651999999947,-841.6666666666036
BNB-sell-141052-0317,sell,624.34,0.7200000000000273,0.0,-0.5123934832640114,-866.1388888888561
