pnl,rolling_profit_factor,rolling_expectancy,edge_decay
-0.4316385999999752,0.015939595575949605,-0.31983536311651856,-0.2878403964699468
-0.29332436340542095,0.015924991006447932,-0.3201334303846274,-0.2878816293040481
-0.29185519999997434,0.015698197125071835,-0.32483328453550603,-0.28791128281670425
-0.16911916563198331,0.01577133981915344,-0.3233027800516664,-0.28703134120792856
-0.30103199999996266,0.015692280272447918,-0.32495771792715344,-0.28713428722845824
-0.3884846799999517,0.015456850752730724,-0.32998618798083224,-0.2878740711173013
-0.2790319999999904,0.015354883467611371,-0.332211932636512,-0.2878099981381903
-0.38263679999996636,0.015118840430086204,-0.33747947707081594,-0.288492205345829
-0.30424952000000005,0.014973547676566362,-0.34080440918385635,-0.2886047575933588
-0.4425181589087871,0.014672416280199411,-0.3479052815956325,-0.28969634199985117
-0.24489836140793542,0.01461461860762312,-0.34930166039107136,-0.2893808632632884
-0.34772478771200466,0.01478138577239021,-0.3453023056394239,-0.28978886273495774
-0.4057785300000077,0.015240321936582556,-0.33474811316707237,-0.2905943465354095
-0.567978040166385,0.01579386516377394,-0.32283429423216004,-0.2925073375259679
-0.5126744000000142,0.015503779187188085,-0.32897167058160015,-0.29401533110455724
-0.8909356155599878,0.014999748800682207,-0.34020005261089614,-0.29807601331173705
-0.5072860165559838,0.014693619584790586,-0.347395768745728,-0.2994895944147387
-0.30936060000000937,0.01463999273315021,-0.3486872695146892,-0.2995558427743714
-0.6327590130579106,0.014380238338493672,-0.3550792873758478,-0.3017771972429284
-0.2988143999999646,0.014312126381427615,-0.3567937780755595,-0.3017575760691339
-0.30405759999999576,0.01434107913354152,-0.3560629993789673,-0.3017727078055211
-0.40489439999999777,0.014362220377092396,-0.35553124737896746,-0.3024467057937203
-0.393579048816001,0.014282939404746127,-0.35753346744307746,-0.30303847425490393
-0.4003777400000085,0.014259649894634302,-0.35812586862742324,-0.3036664695177756
-0.2616095669759775,0.014330714469364783,-0.356324268197343,-0.3033968739886615
-0.5263358715359518,0.014221491843790438,-0.3591006656280624,-0.30481686760361243
-0.44639994640634073,0.01419026717556136,-0.35990224055618947,-0.30571296303907275
-0.18919179999997615,0.014278915673928994,-0.3576356785561889,-0.30498012553568216
-0.3191159087999688,0.014220510766539879,-0.35912579750210816,-0.30506847418108396
-1.4444462232959743,0.013345253108178703,-0.3830190861705877,-0.312145354610369
-0.3853440207359997,0.013326518775187125,-0.383564814784988,-0.31259719822842846
-0.5515539363999631,0.013171296148344433,-0.3881461473589079,-0.31406319048714954
-0.39908454205699984,0.01332180134840998,-0.38370247470736124,-0.31458161336257545
-0.24159593285517603,0.013404532796355105,-0.3813023267667377,-0.31413927590495483
-0.32537878070399895,0.013407353774877579,-0.38122100869905823,-0.3142069837651901
-0.3065439777279829,0.013353464828314461,-0.3827803625574579,-0.3141610975014942
-0.3793415049863894,0.013322751405032175,-0.38367474312614624,-0.3145490761174757
-0.6001148649040056,0.013199391116378573,-0.38730894941898314,-0.3162388145126623
-0.6918828729119975,0.0,-0.4063272302577036,-0.31844848544442306
-1.1155712153825803,0.0,-0.42450413561564376,-0.3231100218768099
-0.5697246384479915,0.0,-0.42987488038460403,-0.32454382778710755
-0.46157804367997546,0.0,-0.42678995888460364,-0.325335933081286
-0.5593618311640114,0.0,-0.429883891507884,-0.32668090950704876
-0.5584896622079799,0.0,-0.4308058150867633,-0.32800553095105406
-0.40086895999999017,0.0,-0.4309114886867632,-0.32841952770701394
-0.9776481113599329,0.0,-0.44239295531396183,-0.3320874858067479
-0.5785658040831976,0.0,-0.44595188771562627,-0.3334721954599864
-0.40506209999999077,0.0,-0.4499197211662028,-0.33387213906076857
-0.3602480134399744,0.0,-0.45401458015129026,-0.3340186716962086
-0.6458011037026479,0.0,-0.46411736549974386,-0.3357412265691723
-0.3433201873759887,0.0,-0.4623509972472641,-0.33578286921096806
-0.13242375056064948,0.0,-0.4591329849903687,-0.3346716171964854
-0.3658643889119942,0.0,-0.4606131687686091,-0.3348411431297219
-0.3350915801279989,0.0,-0.46393261705852934,-0.3348424968432261
-0.4087367713919715,0.0,-0.46608671248636957,-0.33523977788918713
-0.30145379999997246,0.0,-0.46434609488637,-0.3350591042106351
-0.3037875200000033,0.0,-0.4648412052863703,-0.33489276599674883
-0.19429794911997758,0.0,-0.4610744282687705,-0.33414887807676585
-0.3116929199999911,0.0,-0.46122329626877034,-0.3340306888237302
-0.38528219999997115,0.0,-0.460078577090594,-0.33429902134297756
-0.3774628846455924,0.0,-0.4627298675553471,-0.334523833131012
-0.4045111399999769,0.0,-0.4638655946011066,-0.33488646166401187
-0.40587399999998464,0.0,-0.46386750400110605,-0.3352523768100736
-0.6721728741479501,0.0,-0.46595140068073737,-0.3369801742323191
1.0357375397712523,0.04545719920805922,-0.4349831618853121,-0.3299765124261784
-0.28032619476799714,0.046708946110409565,-0.42277097346947223,-0.32972448035684754
-0.6366847436940399,0.04643795599425599,-0.42535894801223334,-0.33127478471713634
-0.886279785895972,0.04526705387912746,-0.4368973317301526,-0.3340637545723064
-0.6017265582327602,0.04532853195953833,-0.43627668263364966,-0.33540206859060867
-0.20644339999999,0.045512519519611376,-0.4344292626336501,-0.334760483174735
0.044128838368874046,0.048094218911963166,-0.4274655338662727,-0.33288479346412303
-0.6000951451439261,0.04767970615797317,-0.43136954876915135,-0.33420110061525504
-0.5251065529776079,0.04740441080349932,-0.4340000988523835,-0.335136911656247
-0.1155337575200017,0.0480046706279188,-0.42830321920278336,-0.33406567675802135
-0.44578713463197417,0.047614825238318594,-0.43198677055590323,-0.3346080139321668
-0.2180549688757045,0.04827097789890292,-0.4258211525026983,-0.33404495574348825
-0.5958021657055749,0.047950743140553316,-0.428809196888683,-0.3353034038683059
-0.832730599479979,0.04661857497062719,-0.441679972878283,-0.33768343829707
-0.31243239999999994,0.046632029788342376,-0.4415463027022837,-0.33756319525756007
-0.29954999999999266,0.04905744060262317,-0.4186483782363641,-0.3373830379340645
-0.08785587573599955,0.049729517201170186,-0.41269861533636404,-0.33620602301803587
-0.33147401003200916,0.05023868735552242,-0.408297016809005,-0.3361838069946273
-0.32584558564794613,0.050410450899954135,-0.40683223768082394,-0.3361354975490821
-0.38451070491917144,0.05007636321714437,-0.4096905331221038,-0.3363604985135941
-0.4916975846223073,0.04969309731693453,-0.41301690920046996,-0.33707965169002335
-0.4032875136705408,0.049472847825457814,-0.4149517799193211,-0.3373847570447723
-0.46558681857598233,0.049278138527576745,-0.416676686191113,-0.3379728398958329
-0.5124040254399791,0.04947616972467402,-0.4149224694018324,-0.33876932932754134
-0.4312335999999478,0.05007416295460558,-0.4097094839435914,-0.3391896214669613
-0.4815327166319818,0.051590979585973744,-0.3970287139685794,-0.339833707870423
-0.3396122681743865,0.052164459794874746,-0.3924264665631074,-0.3398327103943147
-0.4424245306415786,0.0522127689967099,-0.3920433963023395,-0.3402927633999078
-0.30922061872637796,0.05285199337378427,-0.3870405720535868,-0.34015404846832953
-0.6042433540063643,0.05273390492259465,-0.3879556458895545,-0.3413277787151653
-0.19042849613599713,0.05328145677576393,-0.38374683661227466,-0.34066008277454946
-0.6051211460639913,0.05427914953375919,-0.3762962973063558,-0.34182510948507566
-0.335257180127964,0.054951193438184096,-0.37143012482725113,-0.34179630277736905
-0.6117045747119865,0.05437937140327426,-0.375562974321491,-0.3429749415194416
-0.30533880000001634,0.05453015222165145,-0.37446479005269184,-0.34281130612153105
-0.20641119999999638,0.05576751794019084,-0.3656769919786388,-0.3422208294716542
-0.29241991999998634,0.055914497107636976,-0.3646589866311188,-0.34200617037910397
