pnl_net,equity,drawdown
-0.832730599479979,-70.5758386040876,-70.50623135459641
-0.31243239999999994,-70.8882710040876,-70.81866375459641
-0.29954999999999266,-71.1878210040876,-71.11821375459641
-0.08785587573599955,-71.27567687982359,-71.20606963033241
-0.33147401003200916,-71.6071508898556,-71.53754364036442
-0.32584558564794613,-71.93299647550354,-71.86338922601236
-0.38451070491917144,-72.31750718042271,-72.24789993093152
-0.4916975846223073,-72.80920476504501,-72.73959751555383
-0.4032875136705408,-73.21249227871554,-73.14288502922436
-0.46558681857598233,-73.67807909729153,-73.60847184780035
-0.5124040254399791,-74.19048312273151,-74.12087587324032
-0.4312335999999478,-74.62171672273145,-74.55210947324026
-0.4815327166319818,-75.10324943936342,-75.03364218987224
-0.3396122681743865,-75.44286170753782,-75.37325445804663
-0.4424245306415786,-75.88528623817939,-75.8156789886882
-0.30922061872637796,-76.19450685690576,-76.12489960741458
-0.6042433540063643,-76.79875021091213,-76.72914296142095
-0.19042849613599713,-76.98917870704813,-76.91957145755694
-0.6051211460639913,-77.59429985311212,-77.52469260362093
-0.335257180127964,-77.92955703324009,-77.8599497837489
-0.6117045747119865,-78.54126160795208,-78.4716543584609
-0.30533880000001634,-78.8466004079521,-78.77699315846091
-0.20641119999999638,-79.05301160795209,-78.9834043584609
-0.29241991999998634,-79.34543152795207,-79.27582427846089
-0.22522228192799282,-79.57065380988007,-79.50104656038889
-0.31063670501597507,-79.88129051489605,-79.81168326540487
-0.2998371746079437,-80.181127689504,-80.11152044001281
-0.3878472837119592,-80.56897497321596,-80.49936772372477
-0.6417283269839047,-81.21070330019987,-81.14109605070868
-0.4311087291966097,-81.64181202939648,-81.57220477990529
-0.2520431602559684,-81.89385518965244,-81.82424794016126
-0.3363260817839705,-82.23018127143641,-82.16057402194522
-0.4312335999999478,-82.66141487143635,-82.59180762194516
-0.3000395999999769,-82.96145447143633,-82.89184722194514
-0.2777447561696007,-83.23919922760592,-83.16959197811474
-0.30039680000001096,-83.53959602760594,-83.46998877811475
-0.5886496453119437,-84.12824567291788,-84.0586384234267
-0.9125580160399649,-85.04080368895785,-84.97119643946667
-0.34403374467836983,-85.38483743363622,-85.31523018414504
-0.15179720647680545,-85.53663464011302,-85.46702739062184
-0.2093249525241397,-85.74595959263716,-85.67635234314598
-0.4571248401279658,-86.20308443276512,-86.13347718327394
-0.4317869982069639,-86.63487143097208,-86.5652641814809
-0.39697310275997055,-87.03184453373206,-86.96223728424087
-0.36068459857835006,-87.3925291323104,-87.32292188281922
-0.3933283199999535,-87.78585745231035,-87.71625020281917
-0.2983754599999905,-88.08423291231034,-88.01462566281916
-0.4016983999999547,-88.4859313123103,-88.41632406281911
-0.7536984799679818,-89.23962979227828,-89.1700225427871
-0.5808286838479355,-89.82045847612622,-89.75085122663504
-0.4015935999999768,-90.22205207612619,-90.152444826635
-0.20634679999998295,-90.42839887612617,-90.35879162663498
-0.10565093260803349,-90.5340498087342,-90.46444255924301
-0.348646387711947,-90.88269619644615,-90.81308894695496
-0.3055457999999765,-91.18824199644612,-91.11863474695494
-0.4015261677143317,-91.58976816416046,-91.52016091466928
-0.2815049951769838,-91.87127315933745,-91.80166590984626
-0.29266012000000985,-92.16393327933746,-92.09432602984627
-0.289833573119995,-92.45376685245745,-92.38415960296626
-0.4078099199999585,-92.86157677245741,-92.79196952296623
-0.05428716726397846,-92.91586393972139,-92.8462566902302
-0.2854054587526045,-93.201269398474,-93.13166214898281
-0.373775620064015,-93.575045018538,-93.50543776904682
-0.7736202309143695,-94.34866524945238,-94.2790579999612
-0.4284599999999571,-94.77712524945234,-94.70751799996115
-0.30596397407996523,-95.0830892235323,-95.01348197404111
-0.3585432101759929,-95.44163243370829,-95.37202518421711
-0.27867599135997034,-95.72030842506827,-95.65070117557708
-0.18099174772800858,-95.90130017279628,-95.8316929233051
-0.730848082799949,-96.63214825559623,-96.56254100610505
-0.15587961566636838,-96.7880278712626,-96.71842062177141
-0.15616496271597588,-96.94419283397858,-96.87458558448739
-0.6086641628879776,-97.55285699686655,-97.48324974737537
-1.0002560060387928,-98.55311300290535,-98.48350575341416
-0.4027631999999698,-98.95587620290532,-98.88626895341413
-0.47040641689600227,-99.42628261980131,-99.35667537031013
-0.4042030279999879,-99.8304856478013,-99.76087839831011
-0.4808370453599926,-100.31132269316129,-100.2417154436701
-0.49026372220961456,-100.8015864153709,-100.73197916587972
-0.40185467999995805,-101.20344109537086,-101.13383384587968
-0.19413843487085164,-101.39757953024171,-101.32797228075053
-0.48213226565997896,-101.8797117959017,-101.81010454641051
-0.19102819999998633,-102.07073999590169,-102.0011327464105
-0.15318331403515795,-102.22392330993685,-102.15431606044567
-0.5172720510719846,-102.74119536100883,-102.67158811151765
-0.3030416399999891,-103.04423700100882,-102.97462975151764
-0.5154839999999484,-103.55972100100877,-103.49011375151758
-0.31869680057600147,-103.87841780158477,-103.80881055209359
-0.278819991359972,-104.15723779294474,-104.08763054345356
-1.1038302144143584,-105.2610680073591,-105.19146075786792
